,Age,DOB,Debuted,From,Height,Name,Weight,link
140,23 years,02/18/1996,2017,Oregon,6 ft5 in/1.96m, Tyler Dorsey ,183 lbs/83.0kg,https://www.nba.com/players/tyler/dorsey/1628416
141,20 years,04/19/1999,—,Arizona State University,6 ft4 in/1.93m, Luguentz Dort ,222 lbs/100.7kg,https://www.nba.com/players/luguentz/dort/1629652
142,25 years,05-06-1994,2017,Houston,6 ft6 in/1.98m, Damyean Dotson ,210 lbs/95.3kg,https://www.nba.com/players/damyean/dotson/1628422
143,18 years,12/23/2000,—,,6 ft9 in/2.06m, Sekou Doumbouya ,209 lbs/94.8kg,https://www.nba.com/players/sekou/doumbouya/1629635
144,33 years,05-06-1986,2008,,6 ft3 in/1.9m, Goran Dragic ,190 lbs/86.2kg,https://www.nba.com/players/goran/dragic/201609
145,25 years,08-10-1993,2012,Connecticut,6 ft11 in/2.11m, Andre Drummond ,279 lbs/126.6kg,https://www.nba.com/players/andre/drummond/203083
146,34 years,07-10-1985,2007,Boston College,6 ft7 in/2.01m, Jared Dudley ,237 lbs/107.5kg,https://www.nba.com/players/jared/dudley/201162
147,25 years,03/18/1994,2016,Providence,6 ft4 in/1.93m, Kris Dunn ,205 lbs/93.0kg,https://www.nba.com/players/kris/dunn/1627739
148,30 years,09/29/1988,2007,Texas,6 ft9 in/2.06m, Kevin Durant ,240 lbs/108.9kg,https://www.nba.com/players/kevin/durant/201142
149,20 years,08-03-1998,2018,Duke University,6 ft2 in/1.88m, Trevon Duval ,189 lbs/85.7kg,https://www.nba.com/players/trevon/duval/1628979
150,21 years,03-12-1998,—,Purdue University,6 ft0 in/1.83m, Carsen Edwards ,199 lbs/90.3kg,https://www.nba.com/players/carsen/edwards/1629035
151,23 years,04-05-1996,2018,Purdue University,6 ft8 in/2.03m, Vincent Edwards ,225 lbs/102.1kg,https://www.nba.com/players/vincent/edwards/1629053
152,22 years,01/13/1997,2016,Marquette,6 ft11 in/2.11m, Henry Ellenson ,245 lbs/111.1kg,https://www.nba.com/players/henry/ellenson/1627740
153,31 years,11/29/1987,2009,North Carolina,6 ft5 in/1.96m, Wayne Ellington ,200 lbs/90.7kg,https://www.nba.com/players/wayne/ellington/201961
154,25 years,03/16/1994,2016,Kansas,7 ft0 in/2.13m, Joel Embiid ,250 lbs/113.4kg,https://www.nba.com/players/joel/embiid/203954
155,29 years,07-01-1990,2014,Cal State-Long Beach,6 ft7 in/2.01m, James Ennis III ,210 lbs/95.3kg,https://www.nba.com/players/james/ennis_iii/203516
156,22 years,02-01-1997,2018,—,6 ft10 in/2.08m, Drew Eubanks ,245 lbs/111.1kg,https://www.nba.com/players/drew/eubanks/1629234
157,22 years,06/18/1997,2018,University of Cincinnati,6 ft6 in/1.98m, Jacob Evans ,210 lbs/95.3kg,https://www.nba.com/players/jacob/evans/1628980
158,22 years,07/26/1996,2017,Oklahoma State,6 ft0 in/1.83m, Jawun Evans ,190 lbs/86.2kg,https://www.nba.com/players/jawun/evans/1628393
159,24 years,07/13/1995,2014,,6 ft6 in/1.98m, Dante Exum ,190 lbs/86.2kg,https://www.nba.com/players/dante/exum/203957
160,29 years,11/19/1989,2011,Morehead State,6 ft8 in/2.03m, Kenneth Faried ,220 lbs/99.8kg,https://www.nba.com/players/kenneth/faried/202702
161,28 years,07/15/1991,2010,Georgia Tech,6 ft10 in/2.08m, Derrick Favors ,265 lbs/120.2kg,https://www.nba.com/players/derrick/favors/202324
162,27 years,07-07-1992,2015,,6 ft10 in/2.08m, Cristiano Felicio ,265 lbs/120.2kg,https://www.nba.com/players/cristiano/felicio/1626245
163,35 years,06/26/1984,2005,North Carolina,6 ft1 in/1.85m, Raymond Felton ,205 lbs/93.0kg,https://www.nba.com/players/raymond/felton/101109
164,21 years,05/17/1998,2017,,6 ft7 in/2.01m, Terrance Ferguson ,190 lbs/86.2kg,https://www.nba.com/players/terrance/ferguson/1628390
165,20 years,08/15/1998,—,University of Maryland,6 ft10 in/2.08m, Bruno Fernando ,233 lbs/105.7kg,https://www.nba.com/players/bruno/fernando/1628981
166,26 years,05-09-1993,2016,Indiana,6 ft0 in/1.83m, Yogi Ferrell ,180 lbs/81.6kg,https://www.nba.com/players/yogi/ferrell/1627812
167,26 years,05-04-1993,2016,Florida,6 ft8 in/2.03m, Dorian Finney-Smith ,220 lbs/99.8kg,https://www.nba.com/players/dorian/finney-smith/1627827
168,25 years,07/23/1993,2016,Michigan State,6 ft3 in/1.9m, Bryn Forbes ,190 lbs/86.2kg,https://www.nba.com/players/bryn/forbes/1627854
169,26 years,10/29/1992,2012,,6 ft7 in/2.01m, Evan Fournier ,205 lbs/93.0kg,https://www.nba.com/players/evan/fournier/203095
170,21 years,12/20/1997,2017,Kentucky,6 ft3 in/1.9m, De'Aaron Fox ,175 lbs/79.4kg,https://www.nba.com/players/de'aaron/fox/1628368
171,22 years,12/18/1996,—,Washington State University,6 ft9 in/2.06m, Robert Franks ,225 lbs/102.1kg,https://www.nba.com/players/robert/franks/1629606
172,22 years,08/30/1996,2018,Tulane University,6 ft6 in/1.98m, Melvin Frazier Jr. ,200 lbs/90.7kg,https://www.nba.com/players/melvin/frazier_jr./1628982
173,25 years,03-08-1994,—,Florida,6 ft4 in/1.93m, Michael Frazier ,200 lbs/90.7kg,https://www.nba.com/players/michael/frazier/1626187
174,28 years,11-01-1990,2014,Penn State,6 ft1 in/1.85m, Tim Frazier ,170 lbs/77.1kg,https://www.nba.com/players/tim/frazier/204025
175,30 years,02/25/1989,2011,Brigham Young,6 ft2 in/1.88m, Jimmer Fredette ,195 lbs/88.5kg,https://www.nba.com/players/jimmer/fredette/202690
176,36 years,05/17/1983,2005,Arizona,7 ft0 in/2.13m, Channing Frye ,255 lbs/115.7kg,https://www.nba.com/players/channing/frye/101112
177,21 years,05/29/1998,2017,Washington,6 ft4 in/1.93m, Markelle Fultz ,200 lbs/90.7kg,https://www.nba.com/players/markelle/fultz/1628365
178,22 years,03/26/1997,—,University of Kentucky,6 ft9 in/2.06m, Wenyen Gabriel ,205 lbs/93.0kg,https://www.nba.com/players/wenyen/gabriel/1629117
179,20 years,10-01-1998,—,University of Arkansas,6 ft11 in/2.11m, Daniel Gafford ,238 lbs/108.0kg,https://www.nba.com/players/daniel/gafford/1629655
180,30 years,08-08-1988,2008,,6 ft10 in/2.08m, Danilo Gallinari ,225 lbs/102.1kg,https://www.nba.com/players/danilo/gallinari/201568
181,27 years,12-09-1991,2014,"St. Joseph's, PA",6 ft2 in/1.88m, Langston Galloway ,200 lbs/90.7kg,https://www.nba.com/players/langston/galloway/204038
182,19 years,01/26/2000,—,Vanderbilt University,6 ft2 in/1.88m, Darius Garland ,175 lbs/79.4kg,https://www.nba.com/players/darius/garland/1629636
183,24 years,10/16/1994,2018,DePaul University,6 ft6 in/1.98m, Billy Garrett ,215 lbs/97.5kg,https://www.nba.com/players/billy/garrett/1628656
184,34 years,01/29/1985,2008,,7 ft1 in/2.16m, Marc Gasol ,255 lbs/115.7kg,https://www.nba.com/players/marc/gasol/201188
185,39 years,07-06-1980,2001,,7 ft0 in/2.13m, Pau Gasol ,250 lbs/113.4kg,https://www.nba.com/players/pau/gasol/2200
186,32 years,08/17/1986,2006,Connecticut,6 ft8 in/2.03m, Rudy Gay ,230 lbs/104.3kg,https://www.nba.com/players/rudy/gay/200752
187,29 years,05-02-1990,2010,Fresno State,6 ft9 in/2.06m, Paul George ,220 lbs/99.8kg,https://www.nba.com/players/paul/george/202331
188,31 years,11-08-1987,2016,New Mexico State,6 ft2 in/1.88m, Jonathan Gibson ,185 lbs/83.9kg,https://www.nba.com/players/jonathan/gibson/1626780
189,34 years,06/24/1985,2009,USC,6 ft9 in/2.06m, Taj Gibson ,232 lbs/105.2kg,https://www.nba.com/players/taj/gibson/201959
190,21 years,04/22/1998,2018,Duke,6 ft10 in/2.08m, Harry Giles III ,240 lbs/108.9kg,https://www.nba.com/players/harry/giles_iii/1628385
191,21 years,07-12-1998,2018,University of Kentucky,6 ft6 in/1.98m, Shai Gilgeous-Alexander ,181 lbs/82.1kg,https://www.nba.com/players/shai/gilgeous-alexander/1628983
192,27 years,06/26/1992,2013,France,7 ft1 in/2.16m, Rudy Gobert ,245 lbs/111.1kg,https://www.nba.com/players/rudy/gobert/203497
193,23 years,10-02-1995,2018,—,6 ft2 in/1.88m, Brandon Goodwin ,180 lbs/81.6kg,https://www.nba.com/players/brandon/goodwin/1629164
194,23 years,09/16/1995,2014,Arizona,6 ft9 in/2.06m, Aaron Gordon ,220 lbs/99.8kg,https://www.nba.com/players/aaron/gordon/203932
195,30 years,12/25/1988,2008,Indiana,6 ft4 in/1.93m, Eric Gordon ,215 lbs/97.5kg,https://www.nba.com/players/eric/gordon/201569
196,24 years,02/22/1995,2018,University of Kansas,6 ft2 in/1.88m, Devonte' Graham ,185 lbs/83.9kg,https://www.nba.com/players/devonte'/graham/1628984
197,25 years,10/28/1993,2016,Va Commonwealth,6 ft5 in/1.96m, Treveon Graham ,225 lbs/102.1kg,https://www.nba.com/players/treveon/graham/1626203
198,24 years,03/19/1995,2018,Clemson University,6 ft8 in/2.03m, Donte Grantham ,215 lbs/97.5kg,https://www.nba.com/players/donte/grantham/1629055
199,25 years,03-12-1994,2014,Syracuse,6 ft9 in/2.06m, Jerami Grant ,220 lbs/99.8kg,https://www.nba.com/players/jerami/grant/203924
200,26 years,10-09-1992,2015,Notre Dame,6 ft4 in/1.93m, Jerian Grant ,205 lbs/93.0kg,https://www.nba.com/players/jerian/grant/1626170
201,32 years,06/22/1987,2009,North Carolina,6 ft6 in/1.98m, Danny Green ,215 lbs/97.5kg,https://www.nba.com/players/danny/green/201980
202,29 years,03-04-1990,2012,Michigan State,6 ft7 in/2.01m, Draymond Green ,230 lbs/104.3kg,https://www.nba.com/players/draymond/green/203110
203,33 years,01/26/1986,2005,No College,6 ft7 in/2.01m, Gerald Green ,205 lbs/93.0kg,https://www.nba.com/players/gerald/green/101123
204,29 years,06/21/1990,2014,Alabama,6 ft9 in/2.06m, JaMychal Green ,227 lbs/103.0kg,https://www.nba.com/players/jamychal/green/203210
205,32 years,08/28/1986,2007,Georgetown,6 ft9 in/2.06m, Jeff Green ,235 lbs/106.6kg,https://www.nba.com/players/jeff/green/201145
206,30 years,03/16/1989,2010,Oklahoma,6 ft10 in/2.08m, Blake Griffin ,250 lbs/113.4kg,https://www.nba.com/players/blake/griffin/201933
207,21 years,08-11-1997,—,University of Virginia,6 ft1 in/1.85m, Kyle Guy ,167 lbs/75.8kg,https://www.nba.com/players/kyle/guy/1629657
208,21 years,02-08-1998,—,Gonzaga University,6 ft8 in/2.03m, Rui Hachimura ,230 lbs/104.3kg,https://www.nba.com/players/rui/hachimura/1629060
209,20 years,02-12-1999,—,UCLA,6 ft3 in/1.9m, Jaylen Hands ,175 lbs/79.4kg,https://www.nba.com/players/jaylen/hands/1628986
210,27 years,03/16/1992,2013,Michigan,6 ft6 in/1.98m, Tim Hardaway Jr. ,205 lbs/93.0kg,https://www.nba.com/players/tim/hardaway_jr./203501
211,29 years,08/26/1989,2009,Arizona State,6 ft5 in/1.96m, James Harden ,220 lbs/99.8kg,https://www.nba.com/players/james/harden/201935
212,26 years,05-11-1993,2012,"St. John's, N.Y.",6 ft9 in/2.06m, Maurice Harkless ,220 lbs/99.8kg,https://www.nba.com/players/maurice/harkless/203090
213,25 years,01/26/1994,2015,Louisville,6 ft8 in/2.03m, Montrezl Harrell ,240 lbs/108.9kg,https://www.nba.com/players/montrezl/harrell/1626149
214,36 years,02/27/1983,2004,Wisconsin,6 ft3 in/1.9m, Devin Harris ,185 lbs/83.9kg,https://www.nba.com/players/devin/harris/2734
215,24 years,09/14/1994,2014,Michigan State,6 ft4 in/1.93m, Gary Harris ,210 lbs/95.3kg,https://www.nba.com/players/gary/harris/203914
216,27 years,09-06-1991,2014,Virginia,6 ft6 in/1.98m, Joe Harris ,218 lbs/98.9kg,https://www.nba.com/players/joe/harris/203925
217,25 years,10-06-1993,2017,Tulsa,6 ft4 in/1.93m, Shaquille Harrison ,190 lbs/86.2kg,https://www.nba.com/players/shaquille/harrison/1627885
218,27 years,07/15/1992,2011,Tennessee,6 ft9 in/2.06m, Tobias Harris ,235 lbs/106.6kg,https://www.nba.com/players/tobias/harris/202699
219,21 years,05-05-1998,2018,,7 ft0 in/2.13m, Isaiah Hartenstein ,249 lbs/112.9kg,https://www.nba.com/players/isaiah/hartenstein/1628392
220,24 years,03-06-1995,2017,Villanova,6 ft5 in/1.96m, Josh Hart ,215 lbs/97.5kg,https://www.nba.com/players/josh/hart/1628404
221,39 years,06-09-1980,2003,Florida,6 ft8 in/2.03m, Udonis Haslem ,235 lbs/106.6kg,https://www.nba.com/players/udonis/haslem/2617
222,19 years,05/23/2000,—,Texas,6 ft11 in/2.11m, Jaxson Hayes ,220 lbs/99.8kg,https://www.nba.com/players/jaxson/hayes/1629637
223,29 years,03/23/1990,2010,Butler,6 ft8 in/2.03m, Gordon Hayward ,225 lbs/102.1kg,https://www.nba.com/players/gordon/hayward/202330
224,28 years,12/28/1990,2012,North Carolina,6 ft11 in/2.11m, John Henson ,219 lbs/99.3kg,https://www.nba.com/players/john/henson/203089
225,22 years,12-09-1996,—,University of Miami,6 ft10 in/2.08m, Dewan Hernandez ,233 lbs/105.7kg,https://www.nba.com/players/dewan/hernandez/1629608
226,23 years,09/28/1995,2016,,6 ft9 in/2.06m, Juancho Hernangomez ,230 lbs/104.3kg,https://www.nba.com/players/juancho/hernangomez/1627823
227,25 years,05/27/1994,2016,,6 ft11 in/2.11m, Willy Hernangomez ,240 lbs/108.9kg,https://www.nba.com/players/willy/hernangomez/1626195
228,19 years,01/20/2000,—,University of Kentucky,6 ft6 in/1.98m, Tyler Herro ,195 lbs/88.5kg,https://www.nba.com/players/tyler/herro/1629639
229,24 years,02/25/1995,2015,,6 ft8 in/2.03m, Mario Hezonja ,225 lbs/102.1kg,https://www.nba.com/players/mario/hezonja/1626209
230,24 years,07/24/1994,2017,North Carolina,6 ft9 in/2.06m, Isaiah Hicks ,230 lbs/104.3kg,https://www.nba.com/players/isaiah/hicks/1628439
231,26 years,12/17/1992,2016,Oklahoma,6 ft4 in/1.93m, Buddy Hield ,214 lbs/97.1kg,https://www.nba.com/players/buddy/hield/1627741
232,33 years,05-04-1986,2008,IUPUI,6 ft3 in/1.9m, George Hill ,188 lbs/85.3kg,https://www.nba.com/players/george/hill/201588
233,28 years,03/18/1991,2013,Arizona,6 ft7 in/2.01m, Solomon Hill ,225 lbs/102.1kg,https://www.nba.com/players/solomon/hill/203524
234,20 years,03/30/1999,—,Wake Forest University,6 ft9 in/2.06m, Jaylen Hoard ,213 lbs/96.6kg,https://www.nba.com/players/jaylen/hoard/1629658
235,22 years,09/30/1996,2018,UCLA,6 ft1 in/1.85m, Aaron Holiday ,185 lbs/83.9kg,https://www.nba.com/players/aaron/holiday/1628988
236,29 years,06-12-1990,2009,UCLA,6 ft4 in/1.93m, Jrue Holiday ,205 lbs/93.0kg,https://www.nba.com/players/jrue/holiday/201950
237,30 years,04-05-1989,2012,Washington,6 ft6 in/1.98m, Justin Holiday ,181 lbs/82.1kg,https://www.nba.com/players/justin/holiday/203200
238,24 years,01-03-1995,2015,Arizona,6 ft7 in/2.01m, Rondae Hollis-Jefferson ,217 lbs/98.4kg,https://www.nba.com/players/rondae/hollis-jefferson/1626178
239,22 years,07-11-1997,—,Mississippi State University,6 ft10 in/2.08m, Aric Holman ,225 lbs/102.1kg,https://www.nba.com/players/aric/holman/1629689
240,25 years,10/15/1993,2015,Bowling Green,6 ft10 in/2.08m, Richaun Holmes ,235 lbs/106.6kg,https://www.nba.com/players/richaun/holmes/1626158
241,26 years,10/20/1992,2014,Duke,6 ft8 in/2.03m, Rodney Hood ,206 lbs/93.4kg,https://www.nba.com/players/rodney/hood/203918
242,33 years,06-03-1986,2007,Florida,6 ft10 in/2.08m, Al Horford ,245 lbs/111.1kg,https://www.nba.com/players/al/horford/201143
243,18 years,11/25/2000,—,Iowa State University,6 ft4 in/1.93m, Talen Horton-Tucker ,235 lbs/106.6kg,https://www.nba.com/players/talen/horton-tucker/1629659
244,26 years,06-07-1993,2016,Texas A&M,6 ft7 in/2.01m, Danuel House Jr. ,220 lbs/99.8kg,https://www.nba.com/players/danuel/house_jr./1627863
245,33 years,12-08-1985,2004,No College,6 ft11 in/2.11m, Dwight Howard ,265 lbs/120.2kg,https://www.nba.com/players/dwight/howard/2730
246,25 years,10/25/1993,—,,6 ft8 in/2.03m, William Howard ,207 lbs/93.9kg,https://www.nba.com/players/william/howard/1629739
247,20 years,08/27/1998,2018,University of Maryland,6 ft7 in/2.01m, Kevin Huerter ,190 lbs/86.2kg,https://www.nba.com/players/kevin/huerter/1628989
248,21 years,01-05-1998,2018,University of Kentucky,7 ft0 in/2.13m, Isaac Humphries ,260 lbs/117.9kg,https://www.nba.com/players/isaac/humphries/1629353
249,21 years,12-02-1997,—,University of Virginia,6 ft7 in/2.01m, De'Andre Hunter ,225 lbs/102.1kg,https://www.nba.com/players/de'andre/hunter/1629631
250,23 years,04/26/1996,2018,Boise State University,6 ft7 in/2.01m, Chandler Hutchison ,197 lbs/89.4kg,https://www.nba.com/players/chandler/hutchison/1628990
251,29 years,09/18/1989,2009,,6 ft10 in/2.08m, Serge Ibaka ,235 lbs/106.6kg,https://www.nba.com/players/serge/ibaka/201586
252,35 years,01/28/1984,2004,Arizona,6 ft6 in/1.98m, Andre Iguodala ,215 lbs/97.5kg,https://www.nba.com/players/andre/iguodala/2738
253,32 years,05/15/1987,2006,,6 ft10 in/2.08m, Ersan Ilyasova ,235 lbs/106.6kg,https://www.nba.com/players/ersan/ilyasova/101141
254,31 years,10-02-1987,2014,,6 ft8 in/2.03m, Joe Ingles ,226 lbs/102.5kg,https://www.nba.com/players/joe/ingles/204060
255,21 years,09-02-1997,2016,Duke,6 ft9 in/2.06m, Brandon Ingram ,190 lbs/86.2kg,https://www.nba.com/players/brandon/ingram/1627742
256,27 years,03/23/1992,2011,Duke,6 ft3 in/1.9m, Kyrie Irving ,193 lbs/87.5kg,https://www.nba.com/players/kyrie/irving/202681
257,21 years,10-03-1997,2017,Florida State,6 ft10 in/2.08m, Jonathan Isaac ,210 lbs/95.3kg,https://www.nba.com/players/jonathan/isaac/1628371
258,24 years,12/20/1994,2017,Kansas State,6 ft7 in/2.01m, Wes Iwundu ,195 lbs/88.5kg,https://www.nba.com/players/wes/iwundu/1628411
259,19 years,09/15/1999,2018,Michigan State University,6 ft11 in/2.11m, Jaren Jackson Jr. ,242 lbs/109.8kg,https://www.nba.com/players/jaren/jackson_jr./1628991
260,21 years,05-04-1998,2018,Duke,6 ft3 in/1.9m, Frank Jackson ,205 lbs/93.0kg,https://www.nba.com/players/frank/jackson/1628402
261,22 years,02-10-1997,2017,Kansas,6 ft8 in/2.03m, Josh Jackson ,200 lbs/90.7kg,https://www.nba.com/players/josh/jackson/1628367
262,24 years,03/28/1995,2017,North Carolina,6 ft8 in/2.03m, Justin Jackson ,210 lbs/95.3kg,https://www.nba.com/players/justin/jackson/1628382
263,29 years,04/16/1990,2011,Boston College,6 ft3 in/1.9m, Reggie Jackson ,208 lbs/94.3kg,https://www.nba.com/players/reggie/jackson/202704
264,22 years,01/24/1997,—,—,6 ft7 in/2.01m, Justin James ,190 lbs/86.2kg,https://www.nba.com/players/justin/james/1629713
265,34 years,12/30/1984,2003,No College,6 ft8 in/2.03m, LeBron James ,250 lbs/113.4kg,https://www.nba.com/players/lebron/james/2544
266,26 years,05-07-1993,2018,Duke,6 ft9 in/2.06m, Amile Jefferson ,222 lbs/100.7kg,https://www.nba.com/players/amile/jefferson/1628518
267,28 years,03-06-1991,2012,Vanderbilt,6 ft4 in/1.93m, John Jenkins ,215 lbs/97.5kg,https://www.nba.com/players/john/jenkins/203098
268,32 years,03-02-1987,2009,,6 ft10 in/2.08m, Jonas Jerebko ,231 lbs/104.8kg,https://www.nba.com/players/jonas/jerebko/201973
269,22 years,07-08-1997,—,University of Virginia,6 ft5 in/1.96m, Ty Jerome ,195 lbs/88.5kg,https://www.nba.com/players/ty/jerome/1629660
270,23 years,04/22/1996,2018,Missouri State University,6 ft9 in/2.06m, Alize Johnson ,212 lbs/96.2kg,https://www.nba.com/players/alize/johnson/1628993
271,32 years,05-01-1987,2005,No College,6 ft9 in/2.06m, Amir Johnson ,240 lbs/108.9kg,https://www.nba.com/players/amir/johnson/101161
272,23 years,03-03-1996,—,University of North Carolina at Cha,6 ft9 in/2.06m, Cameron Johnson ,205 lbs/93.0kg,https://www.nba.com/players/cameron/johnson/1629661
273,32 years,02/20/1987,2009,Wake Forest,6 ft8 in/2.03m, James Johnson ,240 lbs/108.9kg,https://www.nba.com/players/james/johnson/201949
274,19 years,10-11-1999,—,University of Kentucky,6 ft6 in/1.98m, Keldon Johnson ,211 lbs/95.7kg,https://www.nba.com/players/keldon/johnson/1629640
275,23 years,05/29/1996,2015,Arizona,6 ft7 in/2.01m, Stanley Johnson ,245 lbs/111.1kg,https://www.nba.com/players/stanley/johnson/1626169
276,27 years,05-07-1992,2014,Fresno State,6 ft4 in/1.93m, Tyler Johnson ,190 lbs/86.2kg,https://www.nba.com/players/tyler/johnson/204020
277,24 years,02/19/1995,2015,,7 ft0 in/2.13m, Nikola Jokic ,250 lbs/113.4kg,https://www.nba.com/players/nikola/jokic/203999
278,22 years,02/15/1997,2016,UNLV,6 ft7 in/2.01m, Derrick Jones Jr. ,200 lbs/90.7kg,https://www.nba.com/players/derrick/jones_jr./1627884
279,24 years,06/30/1995,2016,Vanderbilt,7 ft0 in/2.13m, Damian Jones ,245 lbs/111.1kg,https://www.nba.com/players/damian/jones/1627745
